slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_60000_50000,Abric Romaní,1.688,41.533,Spain,53000,65000,12000
slice_60000_50000,Arcy-sur-Cure - Grotte du Bison,3.762,47.59,France,52000,63000,11000
slice_60000_50000,Arcy-sur-Cure - Grotte du Renne,3.762,47.591,France,45000,75000,30000
slice_60000_50000,Arma delle Manie,8.376,44.199,Italy,42000,69000,27000
slice_60000_50000,Barma Grande,7.535,43.784,Italy,55000,70000,15000
slice_60000_50000,Baume de Gigny,5.475,46.47,France,57000,71000,14000
slice_60000_50000,Bioce,19.35,42.506,Montenegro,40000,60000,20000
slice_60000_50000,Bisnik Cave,19.665,50.426,Poland,40000,70000,30000
slice_60000_50000,Bordu Mare Cave,23.117,45.517,Romania,36300,63000,26700
slice_60000_50000,Buhlen_Oberer Fundplatz,9.087,51.191,Germany,57000,82000,25000
slice_60000_50000,Chez-Pinaud,-0.419,45.438,France,54000,80600,26600
slice_60000_50000,Ciemna Cave,19.832,50.197,Poland,57000,71000,14000
slice_60000_50000,Combe Brune 2,0.555,44.881,France,56700,69600,12900
slice_60000_50000,Combe-Grenal,1.226,44.806,France,57000,71000,14000
slice_60000_50000,Cotencher,6.899,46.96,Switzerland,41000,62000,21000
slice_60000_50000,Covolo De Nadale,11.3,45.26,Italy,57000,71000,14000
slice_60000_50000,Crvena Stijena,18.481,42.779,Montenegro,50000,60000,10000
slice_60000_50000,Cueva Bajondillo,-4.498,36.621,Spain,58140,76900,18760
slice_60000_50000,Cueva Des-Cubierta,-3.808,40.923,Spain,47600,71000,23400
slice_60000_50000,Cueva Morín,-3.858,43.359,Spain,57000,71000,14000
slice_60000_50000,Cueva de Ardales,-4.829,36.873,Spain,58000,70000,12000
slice_60000_50000,Cueva de El Pendo,-3.912,43.389,Spain,58800,63800,5000
slice_60000_50000,Cueva de la Buena Pinta,-3.808,40.923,Spain,57942,68960,11018
slice_60000_50000,Divje babe I,13.546,46.064,Slovenia,58000,65000,7000
slice_60000_50000,Einhornhöhle,10.404,51.635,Germany,54000,65000,11000
slice_60000_50000,El Castillo,-3.966,43.292,Spain,59800,78400,18600
slice_60000_50000,Fossellone,13.08,41.223,Italy,56000,80000,24000
slice_60000_50000,Fumane,10.905,45.592,Italy,48000,62000,14000
slice_60000_50000,Gatzarria,-0.92,43.135,France,47400,70000,22600
slice_60000_50000,Geißenklösterle,9.771,48.398,Germany,49000,73000,24000
slice_60000_50000,Grotta di Santo Agostino,13.494,41.234,Italy,43000,60000,17000
slice_60000_50000,Grotte Mandrin,4.771,44.47,France,50000,71000,21000
slice_60000_50000,Grotte Rainaude 1,6.595,43.53,France,45000,71000,26000
slice_60000_50000,Grotte Vaufrey,1.159,44.813,France,57000,71000,14000
slice_60000_50000,Grotte de l_Ermitage,0.734,46.404,France,40000,70000,30000
slice_60000_50000,Gruta do Caldeirão,-8.416,39.647,Portugal,40000,60000,20000
slice_60000_50000,Guattari,13.096,41.232,Italy,55000,80000,25000
slice_60000_50000,Hallera Av. site,16.995,51.09,Poland,49900,60900,11000
slice_60000_50000,Haut de Combe-Capelle,0.85,44.753,France,40000,70000,30000
slice_60000_50000,Hohlenstein-Stadel,10.173,48.549,Germany,50000,70000,20000
slice_60000_50000,Ioton,4.603,43.835,France,40000,60000,20000
slice_60000_50000,Kulna Cave,16.738,49.408,Czech Republic,49300,77500,28200
slice_60000_50000,La Folie,0.356,46.618,France,55300,85000,29700
slice_60000_50000,La Grotte Marcel Clouet,-0.346,45.708,France,40000,70000,30000
slice_60000_50000,La Quina - Amont,0.295,45.508,France,55000,65000,10000
slice_60000_50000,Le Baste,-1.46,43.479,France,40000,70000,30000
slice_60000_50000,Le Moustier_Abri inférieur,1.06,44.994,France,40700,60800,20100
