slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_50000_40000,Jupiter,-1.453,43.479,France,45000,55000,10000
slice_50000_40000,Lapa do Picareiro,-8.653,39.53,Portugal,44000,54000,10000
slice_50000_40000,Raj Cave,20.499,50.825,Poland,43000,50000,7000
slice_50000_40000,Dzerava skala cave,17.325,48.497,Slovakia,36450,50400,13950
slice_50000_40000,Oblazowa Cave,20.126,49.429,Poland,39100,43500,4400
slice_50000_40000,Piekary II,19.79,50.014,Poland,32000,43000,11000
slice_50000_40000,Pech de l Azé I,1.254,44.859,France,34000,58000,24000
slice_50000_40000,Pech de l Azé IV,1.255,44.858,France,40360,59600,19240
slice_50000_40000,Zandmotor,4.185,52.053,Netherlands,35000,47600,12600
slice_50000_40000,Abric Romaní,1.688,41.533,Spain,37000,50000,13000
slice_50000_40000,Barma Grande,7.535,43.784,Italy,42000,55000,13000
slice_50000_40000,Baume de Gigny,5.475,46.47,France,29000,57000,28000
slice_50000_40000,Bondi Cave,43.28,42.33,Georgia,34730,48600,13870
slice_50000_40000,Crvena Stijena,18.481,42.779,Montenegro,48000,50000,2000
slice_50000_40000,Cueva Bajondillo,-4.498,36.621,Spain,34100,45700,11600
slice_50000_40000,Divje babe I,13.546,46.064,Slovenia,48000,52000,4000
slice_50000_40000,Erd,18.873,47.399,Hungary,34400,42900,8500
slice_50000_40000,Grotta Reali,14.04,41.632,Italy,48360,50940,2580
slice_50000_40000,Grotta dei Santi,11.18,42.36,Italy,45000,50000,5000
slice_50000_40000,Grotte de Saint-Marcel,4.544,44.324,France,37250,43000,5750
slice_50000_40000,Grotte du Noisetier,0.371,42.928,France,29000,57000,28000
slice_50000_40000,Hadzi Prodanova,20.21,43.62,Serbia,42000,49900,7900
slice_50000_40000,Hohlenstein-Stadel,10.173,48.549,Germany,39510,48000,8490
slice_50000_40000,Karama,84.566,51.467,Russia,29000,57000,28000
slice_50000_40000,Korman IV,27.186,48.577,Ukraine,42770,46450,3680
slice_50000_40000,Korolevo,23.167,48.173,Ukraine,29000,41000,12000
slice_50000_40000,Ksiecia Jozefa,19.904,50.05,Poland,43000,45800,2800
slice_50000_40000,La Fabbrica,11.122,42.57,Italy,41600,46100,4500
slice_50000_40000,Ortvala Cave,42.762,42.284,Georgia,27500,41100,13600
slice_50000_40000,Oscurusciuto,16.767,40.573,Italy,42700,55000,12300
slice_50000_40000,Pesturina,21.54,43.1,Serbia,39000,45000,6000
slice_50000_40000,Piekary IIa,19.79,50.014,Poland,32100,45600,13500
slice_50000_40000,Pradayrol,1.658,44.624,France,30000,57000,27000
slice_50000_40000,Rio Secco,12.88,46.24,Italy,45840,47940,2100
slice_50000_40000,Riparo Bombrini,7.535,43.784,Italy,40000,44000,4000
slice_50000_40000,Riparo Mezzena,10.999,45.493,Italy,41000,50000,9000
slice_50000_40000,Riparo del Poggio,15.387,39.998,Italy,40300,47300,7000
slice_50000_40000,Rozhok I,38.917,47.217,Russia,32230,56800,24570
slice_50000_40000,Schafstall I,9.212,48.177,Germany,34691,45621,10930
slice_50000_40000,Subalyuk,20.531,47.963,Hungary,40000,57000,17000
slice_50000_40000,Trou de l Abime,4.503,50.05,Belgium,43530,50110,6580
slice_50000_40000,Velika pećina in Kličevica,15.563,44.032,Croatia,32130,47700,15570
