slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_120000_110000,Neumark-Nord 1,11.899,51.324,Germany,116000,130000,14000
slice_120000_110000,Nietoperzowa Cave,19.775,50.194,Poland,109000,123000,14000
slice_120000_110000,Plaidter Hummerich,7.366,50.385,Germany,109000,123000,14000
slice_120000_110000,Rabutz,12.164,51.441,Germany,115000,126000,11000
slice_120000_110000,Rheindahlen,6.368,51.14,Germany,115000,126000,11000
slice_120000_110000,Riparo del Poggio,15.387,39.998,Italy,102800,120800,18000
slice_120000_110000,Starosele,33.935,44.753,Ukraine,95500,112500,17000
slice_120000_110000,Steinmühle bei Veltheim,10.705,52.038,Germany,115000,126000,11000
slice_120000_110000,Stuttgart-Untertürkheim,9.245,48.791,Germany,116000,130000,14000
slice_120000_110000,Taubach,11.378,50.951,Germany,116000,126000,10000
slice_120000_110000,Tönchesberg 2,7.361,50.368,Germany,105000,125000,20000
slice_120000_110000,Uluzzo C,17.96,40.158,Italy,109000,119000,10000
slice_120000_110000,Wallertheim,8.048,49.831,Germany,116000,130000,14000
slice_120000_110000,Walou,5.696,50.591,Belgium,116000,126000,10000
slice_120000_110000,Waziers - Le Bas Terroir,3.116,50.395,France,116500,130000,13500
slice_120000_110000,Weimar Parktravertin,11.331,50.971,Germany,115000,126000,11000
slice_120000_110000,Denisova East chamber,84.678,51.398,Russia,109000,131000,22000
slice_110000_1e+05,Bau de l Aubesier,5.338,44.045,France,104000,116000,12000
slice_110000_1e+05,Bettencourt-Saint-Ouen,2.117,50.014,France,91500,102500,11000
slice_110000_1e+05,Bioce,19.35,42.506,Montenegro,85000,110000,25000
slice_110000_1e+05,Bisnik Cave,19.665,50.426,Poland,90000,110000,20000
slice_110000_1e+05,Bojnice III Cave Moat,18.578,48.78,Slovakia,95000,115000,20000
slice_110000_1e+05,Bolomor Cave,-0.25,39.059,Spain,103000,130000,27000
slice_110000_1e+05,Caours,1.883,50.131,France,109000,139000,30000
slice_110000_1e+05,Ciemna Cave,19.832,50.197,Poland,109000,123000,14000
slice_110000_1e+05,Covalejos,-3.933,43.397,Spain,87857,101000,13143
slice_110000_1e+05,Crvena Stijena,18.481,42.779,Montenegro,90000,110000,20000
slice_110000_1e+05,Divje babe I,13.546,46.064,Slovenia,100000,110000,10000
slice_110000_1e+05,Grotte Vaufrey,1.159,44.813,France,102000,116000,14000
slice_110000_1e+05,Grotte des Ramandils,3.038,42.998,France,72000,101000,29000
slice_110000_1e+05,Gruta da Figueira Brava,-8.986,38.471,Portugal,91500,102500,11000
slice_110000_1e+05,Gruta da Oliveira,-8.615,39.505,Portugal,92000,110000,18000
slice_110000_1e+05,Kabazi II,34.028,44.835,Ukraine,96000,109000,13000
slice_110000_1e+05,La Chaise - Bourgeois-Delaunay,0.447,45.67,France,91000,116000,25000
slice_110000_1e+05,Le Rozel,-1.84,49.472,France,91500,102500,11000
slice_110000_1e+05,Lichtenberg,11.255,52.918,Germany,81300,100600,19300
slice_110000_1e+05,Mario Bernardini,17.95,40.16,Italy,105000,109000,4000
slice_110000_1e+05,Moravsky Krumlov IV,16.411,49.045,Czech Republic,89900,104500,14600
slice_110000_1e+05,Nietoperzowa Cave,19.775,50.194,Poland,109000,123000,14000
slice_110000_1e+05,Pech de l Azé IV,1.255,44.858,France,73000,101000,28000
slice_110000_1e+05,Plaidter Hummerich,7.366,50.385,Germany,109000,123000,14000
slice_110000_1e+05,Riparo del Poggio,15.387,39.998,Italy,102800,120800,18000
slice_110000_1e+05,Starosele,33.935,44.753,Ukraine,95500,112500,17000
slice_110000_1e+05,Stuttgart-Untertürkheim,9.245,48.791,Germany,109000,115000,6000
slice_110000_1e+05,Taubach,11.378,50.951,Germany,101000,126000,25000
slice_110000_1e+05,Tönchesberg 2,7.361,50.368,Germany,105000,125000,20000
slice_110000_1e+05,Uluzzo C,17.96,40.158,Italy,109000,119000,10000
slice_110000_1e+05,Wallertheim,8.048,49.831,Germany,93000,105000,12000
slice_110000_1e+05,Denisova East chamber,84.678,51.398,Russia,109000,131000,22000
slice_1e+05_90000,Abri du Maras,4.563,44.312,France,80000,100000,20000
slice_1e+05_90000,Bettencourt-Saint-Ouen,2.117,50.014,France,91500,102500,11000
slice_1e+05_90000,Bioce,19.35,42.506,Montenegro,85000,110000,25000
slice_1e+05_90000,Bisnik Cave,19.665,50.426,Poland,90000,110000,20000
slice_1e+05_90000,Bojnice III Cave Moat,18.578,48.78,Slovakia,95000,115000,20000
slice_1e+05_90000,Capelvenere,17.979,40.142,Italy,70000,100000,30000
slice_1e+05_90000,Covalejos,-3.933,43.397,Spain,87857,101000,13143
slice_1e+05_90000,Crvena Stijena,18.481,42.779,Montenegro,90000,110000,20000
slice_1e+05_90000,Cueva del Camino,-3.81,40.924,Spain,83500,99700,16200
slice_1e+05_90000,Grotte des Ramandils,3.038,42.998,France,72000,101000,29000
slice_1e+05_90000,Gruta Nova da Columbeira,-9.201,39.298,Portugal,80000,93000,13000
slice_1e+05_90000,Gruta da Figueira Brava,-8.986,38.471,Portugal,84500,91500,7000
slice_1e+05_90000,Gruta da Oliveira,-8.615,39.505,Portugal,90000,92000,2000
slice_1e+05_90000,Kabazi II,34.028,44.835,Ukraine,96000,109000,13000
slice_1e+05_90000,La Chaise - Bourgeois-Delaunay,0.447,45.67,France,91000,116000,25000
slice_1e+05_90000,Le Rozel,-1.84,49.472,France,91500,102500,11000
slice_1e+05_90000,Lichtenberg,11.255,52.918,Germany,81300,100600,19300
slice_1e+05_90000,Marcello Zei,17.58,40.7,Italy,70000,100000,30000
slice_1e+05_90000,Moravsky Krumlov IV,16.411,49.045,Czech Republic,89900,104500,14600
slice_1e+05_90000,Pech de l Azé II,1.253,44.859,France,74800,95800,21000
slice_1e+05_90000,Pech de l Azé IV,1.255,44.858,France,73000,101000,28000
slice_1e+05_90000,Pesturina,21.54,43.1,Serbia,89000,99000,10000
slice_1e+05_90000,Plaidter Hummerich,7.366,50.385,Germany,82000,109000,27000
slice_1e+05_90000,Schalkholz,9.271,54.242,Germany,90000,100000,10000
slice_1e+05_90000,Serra Cicora,17.56,40.3,Italy,70000,100000,30000
slice_1e+05_90000,Starosele,33.935,44.753,Ukraine,95500,112500,17000
slice_1e+05_90000,Stuttgart-Untertürkheim,9.245,48.791,Germany,93000,109000,16000
slice_1e+05_90000,Tata,18.32,47.642,Hungary,70000,99500,29500
slice_1e+05_90000,Wallertheim,8.048,49.831,Germany,93000,105000,12000
slice_1e+05_90000,Walou,5.696,50.591,Belgium,85700,94900,9200
slice_1e+05_90000,Carihuela,-3.43,37.449,Spain,63400,91000,27600
slice_90000_80000,Abri du Maras,4.563,44.312,France,80000,100000,20000
slice_90000_80000,Abrigo de Navalmaíllo,-3.809,40.923,Spain,66603,83246,16643
slice_90000_80000,Asprochaliko,20.84,39.24,Greece,85000,90000,5000
slice_90000_80000,Baume de Gigny,5.475,46.47,France,71000,84500,13500
slice_90000_80000,Bettencourt-Saint-Ouen,2.117,50.014,France,71000,84500,13500
slice_90000_80000,Bioce,19.35,42.506,Montenegro,85000,110000,25000
slice_90000_80000,Bisnik Cave,19.665,50.426,Poland,70000,90000,20000
slice_90000_80000,Buhlen_Oberer Fundplatz,9.087,51.191,Germany,57000,82000,25000
slice_90000_80000,Capelvenere,17.979,40.142,Italy,70000,100000,30000
slice_90000_80000,Chez-Pinaud,-0.419,45.438,France,54000,80600,26600
slice_90000_80000,Covalejos,-3.933,43.397,Spain,87857,101000,13143
slice_90000_80000,Crvena Stijena,18.481,42.779,Montenegro,78000,90000,12000
slice_90000_80000,Cueva del Camino,-3.81,40.924,Spain,83500,99700,16200
slice_90000_80000,Divje babe I,13.546,46.064,Slovenia,78000,85000,7000
slice_90000_80000,Fumane,10.905,45.592,Italy,68000,90000,22000
slice_90000_80000,Grotte des Ramandils,3.038,42.998,France,71000,83000,12000
slice_90000_80000,Gruta Nova da Columbeira,-9.201,39.298,Portugal,80000,93000,13000
slice_90000_80000,Gruta da Figueira Brava,-8.986,38.471,Portugal,84500,91500,7000
slice_90000_80000,Gruta da Oliveira,-8.615,39.505,Portugal,71000,84500,13500
slice_90000_80000,La Folie,0.356,46.618,France,55300,85000,29700
