slice_prev,slice_curr,shared_hotspots,new_hotspots,lost_hotspots,prev_hotspots,curr_hotspots,jaccard_overlap,mean_delta_gi,median_delta_gi,pair_label
slice_130000_120000,slice_120000_110000,152,27,0,0,0,0.8491620111684405,2.0001935666871382e-5,-0.011443365784971987,130000–120000 ka → 120000–110000 ka
slice_120000_110000,slice_110000_100000,96,33,83,0,0,0.45283018867710934,0.0012950126314537312,0.03714775370421142,120000–110000 ka → 110000–100000 ka
slice_110000_100000,slice_100000_90000,33,33,96,0,0,0.20370370370244628,0.0011258569785685172,0.029128638796204698,110000–100000 ka → 100000–90000 ka
slice_100000_90000,slice_90000_80000,33,33,33,0,0,0.33333333332996634,6.458711772074509e-4,0,100000–90000 ka → 90000–80000 ka
slice_90000_80000,slice_80000_70000,66,227,0,0,0,0.22525597269547695,0.0013028697368830772,-0.10027766560952142,90000–80000 ka → 80000–70000 ka
slice_80000_70000,slice_70000_60000,231,103,62,0,0,0.5833333333318603,0.002327076761340327,-0.021514529911462132,80000–70000 ka → 70000–60000 ka
slice_70000_60000,slice_60000_50000,123,27,211,0,0,0.34072022160570437,2.0348660681849463e-4,0.013875910647628248,70000–60000 ka → 60000–50000 ka
slice_60000_50000,slice_50000_40000,117,179,33,0,0,0.3556231003028705,5.793842642991225e-5,-0.027404913062537395,60000–50000 ka → 50000–40000 ka
