slice_target,N_rarefied_to,baseline_range_full,baseline_range_95,observed_full_range_target,observed_95_range_target,rarefied_full_median,rarefied_full_q025,rarefied_full_q975,rarefied_95_median,rarefied_95_q025,rarefied_95_q975,p_full_more_than_baseline,p_95_more_than_baseline
slice_70000_60000,60,47.168,32.30404999999998,48.615,39.9538,47.168,43.050999999999995,48.615,39.98757500000001,37.04042999999999,41.775549999999996,0.5024975024975025,0.008991008991008992
slice_60000_50000,60,47.168,32.30404999999998,52.873,43.415875,51.915,43.746,52.873,43.516349999999996,34.14356124999999,47.9103,0.04495504495504495,0.01098901098901099
slice_50000_40000,60,47.168,32.30404999999998,52.873,46.989000000000004,51.915,47.192,52.873,46.969862500000005,39.51264499999999,49.62718625,0.02197802197802198,0.003996003996003996
