slice,shared_hotspots,new_hotspots,lost_hotspots,baseline_hotspots,current_hotspots,jaccard_overlap,mean_delta_gi,median_delta_gi
slice_120000_110000,152,27,0,152,179,0.8491620111684405,2.0001935666871382e-5,-0.011443365784971987
slice_110000_100000,69,60,83,152,129,0.3254716981116723,0.0013150145671206002,0.02570438791923943
slice_100000_90000,0,66,152,152,66,0,0.0024408715456891196,0.05483302671544413
slice_90000_80000,0,66,152,152,66,0,0.0030867427228965603,0.05483302671544413
slice_80000_70000,68,225,84,152,293,0.18037135278466745,0.004389612459779647,-0.045444638894077294
slice_70000_60000,55,279,97,152,334,0.12761020881640925,0.006716689221119981,-0.06695916880553943
slice_60000_50000,13,137,139,152,150,0.044982698961782065,0.006920175827938469,-0.05308325815791118
slice_50000_40000,25,271,127,152,296,0.05910165484619598,0.006978114254368384,-0.08048817122044857
